0-20,20-30,30-40,40-50,50-60 ,60-65,65-70,70-75,75-80,80-inf,total
0.142857142857143,0,0,0.428571428571427,1.57142857142856,1.28571428571428,2.85714285714283,4.71428571428567,10.2857142857142,46.5714285714286,67.8571428571427
0.142857142857143,0,0,0.428571428571427,1.57142857142856,1.28571428571428,2.85714285714283,4.71428571428567,10.2857142857142,46.5714285714286,67.8571428571427
0.142857142857143,0,0,0.428571428571427,1.57142857142856,1.28571428571428,2.85714285714283,4.71428571428567,10.2857142857142,46.5714285714286,67.8571428571427
0.142857142857143,0,0,0.428571428571427,1.57142857142857,1.28571428571428,2.85714285714283,4.71428571428567,10.2857142857142,46.5714285714286,67.8571428571427
0.142857142857143,0,0,0.428571428571427,1.57142857142857,1.28571428571428,2.85714285714283,4.71428571428567,10.2857142857142,46.5714285714286,67.8571428571427
0.142857142857143,0,0,0.428571428571438,1.57142857142861,1.28571428571433,2.857142857143,4.71428571428601,10.2857142857147,46.5714285714287,67.8571428571439
0,0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,7,44.4285714285714,59.8571428571429
0,0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,7,44.4285714285714,59.8571428571429
0,0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,7,44.4285714285714,59.8571428571429
0,0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,7,44.4285714285714,59.8571428571429
0,0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,7,44.4285714285714,59.8571428571429
0,0,0.285714285714286,0.142857142857146,1,1.42857142857142,2.14285714285717,3.42857142857144,7,44.4285714285714,59.8571428571429
0,0,0.285714285714281,0.142857142857125,1,1.4285714285715,2.142857142857,3.42857142857133,7,44.4285714285713,59.8571428571426
0,0,0.142857142857143,0.142857142857146,0.428571428571431,1.42857142857142,2.14285714285717,4.85714285714289,11.5714285714287,36.857142857143,57.5714285714288
0,0,0.142857142857143,0.142857142857146,0.428571428571431,1.42857142857142,2.14285714285717,4.85714285714289,11.5714285714287,36.857142857143,57.5714285714288
0,0,0.142857142857143,0.142857142857146,0.428571428571416,1.42857142857142,2.14285714285717,4.85714285714289,11.5714285714287,36.857142857143,57.5714285714288
0,0,0.142857142857143,0.142857142857146,0.428571428571416,1.42857142857142,2.14285714285717,4.85714285714289,11.5714285714287,36.857142857143,57.5714285714288
0,0,0.142857142857143,0.142857142857146,0.428571428571416,1.42857142857142,2.14285714285717,4.85714285714289,11.5714285714287,36.857142857143,57.5714285714288
0,0,0.142857142857143,0.142857142857146,0.428571428571416,1.42857142857142,2.14285714285717,4.85714285714289,11.5714285714287,36.857142857143,57.5714285714288
0,0,0.142857142857141,0.142857142857125,0.428571428571473,1.4285714285715,2.142857142857,4.85714285714266,11.571428571428,36.8571428571423,57.5714285714272
0,0,0.142857142857143,0.571428571428569,1.28571428571428,1,1,6.57142857142856,7.14285714285711,30.4285714285712,48.1428571428569
0,0,0.142857142857143,0.571428571428569,1.28571428571428,1,1,6.57142857142856,7.14285714285711,30.4285714285712,48.1428571428569
0,0,0.142857142857143,0.571428571428569,1.28571428571428,1,1,6.57142857142856,7.14285714285711,30.4285714285712,48.1428571428569
0,0,0.142857142857143,0.571428571428569,1.28571428571428,1,1,6.57142857142856,7.14285714285711,30.4285714285712,48.1428571428569
0,0,0.142857142857143,0.571428571428569,1.28571428571428,1,1,6.57142857142856,7.14285714285711,30.4285714285712,48.1428571428569
0,0,0.142857142857143,0.571428571428569,1.28571428571428,1,1,6.57142857142856,7.14285714285711,30.4285714285712,48.1428571428569
0,0,0.142857142857141,0.571428571428584,1.28571428571433,1,1,6.57142857142867,7.14285714285734,30.4285714285727,48.1428571428588
0,0,0,0.142857142857146,1.71428571428571,0.857142857142861,1.85714285714283,4.14285714285711,8.28571428571422,39.1428571428574,56.1428571428572
0,0,0,0.142857142857146,1.71428571428571,0.857142857142861,1.85714285714283,4.14285714285711,8.28571428571422,39.1428571428574,56.1428571428572
0,0,0,0.142857142857146,1.71428571428571,0.857142857142861,1.85714285714283,4.14285714285711,8.28571428571422,39.1428571428574,56.1428571428572
0,0,0,0.142857142857146,1.71428571428571,0.857142857142861,1.85714285714283,4.14285714285711,8.28571428571422,39.1428571428574,56.1428571428572
0,0,0,0.142857142857146,1.71428571428571,0.857142857142861,1.85714285714283,4.14285714285711,8.28571428571422,39.1428571428574,56.1428571428572
0,0,0,0.142857142857146,1.71428571428571,0.857142857142861,1.85714285714283,4.14285714285711,8.28571428571422,39.1428571428574,56.1428571428572
